elapsed_seconds,used_mb
0.1,3770
10.3,6532
20.4,6532
30.6,6526
40.8,6533
50.9,3778
61.1,12165
71.2,14364
81.4,14508
91.5,14605
101.7,14563
111.8,14519
122.0,14640
132.1,14724
142.2,14805
152.4,14972
162.5,14678
172.7,14888
182.8,14971
193.0,15093
203.1,15134
213.3,14956
223.4,15233
233.6,15353
243.7,15507
253.9,15190
264.0,14737
274.2,15299
284.3,14977
294.5,15637
304.6,15280
314.8,15665
324.9,15445
335.1,15403
345.2,15495
355.4,15209
365.6,15709
375.7,14810
385.9,15691
396.1,14487
406.2,15530
416.4,14385
426.5,13105
436.7,14954
446.8,15283
457.0,15514
467.1,14711
477.3,14748
487.4,15557
497.6,15477
507.7,14138
517.9,15769
528.0,15292
538.1,15029
548.3,15386
558.4,14016
568.6,14786
578.7,15872
588.9,15196
599.1,15690
609.2,15145
619.3,15600
629.5,14639
639.6,15052
649.8,15675
659.9,14846
670.1,14970
680.2,13948
690.4,16012
692.4,16039
