elapsed_seconds,used_mb
0.1,2229
10.3,9925
20.4,11243
30.6,11226
40.7,11387
50.9,11620
61.0,11668
71.2,11719
81.3,11919
91.5,12048
101.6,11512
111.7,12149
121.9,11663
132.0,12013
142.2,13579
152.3,14551
162.5,12372
172.6,13534
182.8,13858
192.9,12609
203.1,13831
213.2,12278
223.4,12507
233.5,13871
243.7,13991
253.8,12573
264.0,12798
274.1,15517
284.3,15476
294.4,15334
304.6,15993
314.8,15956
325.0,15983
335.2,13487
345.4,13705
355.6,13688
365.7,14487
376.0,14652
386.2,15846
396.5,15903
406.7,10065
417.0,13818
427.2,12893
437.3,12870
447.5,15499
457.7,15766
467.9,15814
478.2,16034
488.7,16019
498.9,16014
509.1,16034
519.2,16037
