Time (s),VRAM (MB)
0.0,3152
10.2,4317
20.4,4348
30.6,4303
40.8,4698
50.9,4928
61.1,5039
71.2,5060
81.4,5471
91.6,5896
101.8,6583
112.0,6177
122.1,6276
132.3,6983
142.5,7125
152.7,5854
163.1,8970
173.4,7672
183.5,7568
193.7,6849
203.8,7027
214.0,7790
224.2,6723
234.4,7466
244.5,7385
254.7,7233
264.9,6421
275.1,6834
285.2,7456
295.4,6651
305.6,7125
315.7,7074
325.9,6783
336.1,7736
346.2,7334
356.4,6886
366.6,6902
376.8,7380
386.9,6788
397.1,6791
407.2,6775
417.5,6420
427.6,7935
437.8,6549
448.0,7612
458.2,6658
468.4,7154
478.5,7188
488.7,7897
498.8,8516
509.0,8635
519.2,8816
529.4,8944
539.6,9077
549.7,9124
559.9,9108
570.1,9454
580.3,9424
590.5,9465
600.6,9142
610.8,9168
621.1,9139
631.2,9168
641.4,9163
651.5,9257
661.7,9448
671.9,9333
682.0,9210
692.2,9226
702.4,9289
712.6,9308
722.8,9292
732.9,9478
743.1,9453
753.3,9825
763.5,9954
773.6,9948
783.8,9958
794.0,9929
804.2,9917
814.3,10007
824.5,10045
834.7,10035
844.8,10044
855.0,10048
865.2,10034
875.5,10044
