Time (s),VRAM (MB)
0.0,2394
10.2,2382
20.5,5125
30.7,5134
41.0,5115
51.1,5118
61.3,5134
71.5,5501
81.7,7481
91.8,7531
102.0,7529
112.2,7596
122.4,7767
132.5,7826
142.7,7966
152.9,8269
163.0,8372
173.2,8689
183.3,8523
193.5,8728
203.7,8875
213.9,9021
224.0,9044
234.2,8828
244.4,9168
254.6,10110
264.9,8744
275.3,9923
285.5,10240
295.7,9861
305.8,9880
316.0,9865
326.2,10196
336.4,10108
346.5,9714
356.7,10128
366.9,10302
377.0,10286
387.2,9840
397.4,10121
407.5,9927
417.7,10017
427.8,9949
438.0,10166
448.2,10746
458.3,10935
468.5,9945
478.7,9728
488.8,10447
499.0,10268
509.1,10726
519.3,10010
529.4,9998
539.6,10011
549.8,10340
559.9,10228
570.1,10531
580.2,10774
590.4,10800
600.6,10797
610.7,10721
620.9,10731
631.1,10810
641.2,10831
651.4,10982
661.6,10980
671.7,10957
681.9,10966
692.0,10969
702.2,10959
712.4,10971
722.5,10977
732.7,11076
742.8,11134
753.0,11101
763.2,11004
773.4,11058
783.5,11320
793.7,11223
803.8,11205
814.0,11216
824.2,11207
834.3,11294
844.5,11250
854.7,11214
864.8,11176
875.0,11239
885.1,11206
895.3,11233
905.5,11270
915.6,11219
925.8,11307
936.0,11259
946.1,11239
956.5,11242
967.0,11274
977.6,11217
