Time (s),VRAM (MB)
0.0,3961
10.2,6771
20.4,7116
30.6,7395
40.8,7614
51.0,7970
61.2,8154
71.4,7978
81.6,8968
91.8,8506
101.9,9235
112.1,9266
122.3,9815
132.5,7876
143.1,8407
153.3,8641
163.5,9036
173.7,10430
183.8,8717
194.1,8986
204.2,9124
214.4,9259
224.6,10361
234.7,9404
244.9,9425
255.1,12311
265.4,9045
275.5,9989
285.7,10536
295.9,10921
306.0,10485
316.2,10620
326.4,10361
336.6,10368
346.7,10321
356.9,10363
367.0,10377
377.2,10357
387.4,10369
397.5,10351
407.7,10346
418.4,10337
428.6,10235
438.8,10198
448.9,10224
459.1,10292
469.3,10207
479.5,10250
489.7,10252
499.8,10233
510.0,10202
520.8,10200
